entity	rule	observation	disposition	reason
SmallGPTalkChatText>>inline:	ReNilBranchRule	branch nil is useless	Reviewed; retained	Retain explicit fallback values in rendering and error conversion.
SmallGPTalkChatText>>render:	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkChatText>>render:	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkCodeContext class>>textFor:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkConversation>>validateCallIdsIn:	ReCollectionProtocolRule	Uses do: instead of collect: or select:'s	Reviewed; retained	Retain ordered validation or accumulation across message roles; failure and duplicate detection depend on this work.
SmallGPTalkConversationPresenter>>addActionsForEntry:to:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkConversationPresenter>>browse:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkConversationPresenter>>browseTargetFor:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkConversationPresenter>>browseTargetFor:	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkConversationPresenter>>hasAssistantEntry	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkConversationPresenter>>objectMenu	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkConversationPresenter>>objectMenu	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkConversationPresenter>>objectMenu	ReStringConcatenationRule	String concatenation instead of streams	Reviewed; retained	Retain bounded labels, paths, or fixture text. Transcript growth remains a documented limit.
SmallGPTalkConversationPresenter>>refresh	ReStringConcatenationRule	String concatenation instead of streams	Reviewed; retained	Retain bounded labels, paths, or fixture text. Transcript growth remains a documented limit.
SmallGPTalkCoreRunTest>>start	ReUsesAddRule	Uses the result of an add: message	Reviewed; retained	Collection add returns the stored run in tests. The Keychain add selector returns a native status code.
SmallGPTalkCoreRunTest>>testImageLeaseIsSharedAndReleased	ReUsesAddRule	Uses the result of an add: message	Reviewed; retained	Collection add returns the stored run in tests. The Keychain add selector returns a native status code.
SmallGPTalkCoreRunTest>>testObserverFailureDoesNotRepeatToolWork	ReTempsReadBeforeWrittenRule	Temporaries may be read before written	Reviewed; retained	Reviewed paths use initial nil state, guarded cleanup, or values assigned by a synchronized worker.
SmallGPTalkCoreRunTest>>testObserverFailureDoesNotRepeatToolWork	ReUsesAddRule	Uses the result of an add: message	Reviewed; retained	Collection add returns the stored run in tests. The Keychain add selector returns a native status code.
SmallGPTalkCoreRunTest>>testReservationFailureKeepsOriginalErrorWhenCleanupFails	ReTempsReadBeforeWrittenRule	Temporaries may be read before written	Reviewed; retained	Reviewed paths use initial nil state, guarded cleanup, or values assigned by a synchronized worker.
SmallGPTalkCoreRunTest>>testTerminalObserverCanWaitAndReadFinalState	ReTempsReadBeforeWrittenRule	Temporaries may be read before written	Reviewed; retained	Reviewed paths use initial nil state, guarded cleanup, or values assigned by a synchronized worker.
SmallGPTalkCoreRunTest>>testTerminalObserverCanWaitAndReadFinalState	ReUsesAddRule	Uses the result of an add: message	Reviewed; retained	Collection add returns the stored run in tests. The Keychain add selector returns a native status code.
SmallGPTalkFailure class>>fromException:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkFailure class>>fromException:	ReNilBranchRule	branch nil is useless	Reviewed; retained	Retain explicit fallback values in rendering and error conversion.
SmallGPTalkImageToolsTest>>tearDown	ReShouldSendSuperTearDownAsLastMessage	Provide a call to super tearDown as the last message in the tearDown method	Reviewed; retained	The ensure block calls superclass cleanup even when local cleanup fails.
SmallGPTalkImageToolsTest>>testCancellationStopsAnActiveEvaluation	ReTempsReadBeforeWrittenRule	Temporaries may be read before written	Reviewed; retained	Reviewed paths use initial nil state, guarded cleanup, or values assigned by a synchronized worker.
SmallGPTalkKeychainStore>>decodeRecord:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkKeychainStore>>encodeRecord:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkKeychainStore>>write:	ReUsesAddRule	Uses the result of an add: message	Reviewed; retained	Collection add returns the stored run in tests. The Keychain add selector returns a native status code.
SmallGPTalkOpenAIAccount>>logout	ReTempsReadBeforeWrittenRule	Temporaries may be read before written	Reviewed; retained	Reviewed paths use initial nil state, guarded cleanup, or values assigned by a synchronized worker.
SmallGPTalkOpenAIAuth class>>credentialsFrom:previous:now:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAIAuth class>>credentialsFrom:previous:now:	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkOpenAIAuth class>>credentialsFrom:previous:now:	ReUnoptimizedAndOrRule	Uses "(a and: [b]) and: [c]" instead of "a and: [b and: [c]]"	Reviewed; retained	Retain the credential field checks. This is style advice, not a missing check.
SmallGPTalkOpenAIAuthState class>>forStore:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAIAuthTransport>>postForm:	ReAssignmentInBlockRule	Unnecessary assignment or return in block	Reviewed; retained	Retain worker result capture and protected cleanup around asynchronous work.
SmallGPTalkOpenAIAuthTransport>>postForm:	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkOpenAIAuthTransport>>postForm:	ReTempsReadBeforeWrittenRule	Temporaries may be read before written	Reviewed; retained	Reviewed paths use initial nil state, guarded cleanup, or values assigned by a synchronized worker.
SmallGPTalkOpenAIAuthTransport>>postForm:	ReUnwindBlocksRule	Move assignment out of unwind blocks	Reviewed; retained	Keep resource creation and work inside protected blocks so cancellation runs cleanup.
SmallGPTalkOpenAILogin	ReExcessiveVariablesRule	Excessive number of variables	Reviewed; retained	Retain state required by the current UI, operation lifecycle, or parser. No unused field was identified.
SmallGPTalkOpenAILogin>>fail:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAILogin>>handleRequest:	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkOpenAILogin>>handleRequest:	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkOpenAIProvider>>addAssistant:to:	ReCollectionProtocolRule	Uses do: instead of collect: or select:'s	Reviewed; retained	Retain ordered validation or accumulation across message roles; failure and duplicate detection depend on this work.
SmallGPTalkOpenAIProvider>>inputFor:	ReCollectionProtocolRule	Uses do: instead of collect: or select:'s	Reviewed; retained	Retain ordered validation or accumulation across message roles; failure and duplicate detection depend on this work.
SmallGPTalkOpenAIProvider>>validateJSON:ancestors:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAIStream	ReExcessiveVariablesRule	Excessive number of variables	Reviewed; retained	Retain state required by the current UI, operation lifecycle, or parser. No unused field was identified.
SmallGPTalkOpenAIStream>>buildMessage	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAIStream>>buildMessage	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkOpenAIStream>>completeItem:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAIStream>>completeResponse:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAIStream>>completedOutput	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkOpenAIStream>>completedOutput	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkOpenAIStream>>dispatchEvent	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAIStream>>reconcileOutput:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAIStream>>toolCallFrom:index:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkOpenAIStream>>toolCallFrom:index:	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkOpenAIStream>>validateOutputReferences:	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkProviderClient>>post	ReEqualsTrueRule	Unnecessary "= true"	Reviewed; retained	Retain explicit comparison for nullable fixture flags or schema values that can also be dictionaries.
SmallGPTalkProviderNetworkClient>>closedConnection	ReEqualsTrueRule	Unnecessary "= true"	Reviewed; retained	Retain explicit comparison for nullable fixture flags or schema values that can also be dictionaries.
SmallGPTalkProviderStreamTest	ReVariableAssignedLiteralRule	Variable is only assigned a single literal value	Reviewed; retained	The test sets its cancellation threshold explicitly. The default nil value disables it.
SmallGPTalkProviderStreamTest>>testDoneEventRequiresCompletedStatus	ReStringConcatenationRule	String concatenation instead of streams	Reviewed; retained	Retain bounded labels, paths, or fixture text. Transcript growth remains a documented limit.
SmallGPTalkProviderStreamTest>>testFailureAndIncompleteEventsAreRejected	ReStringConcatenationRule	String concatenation instead of streams	Reviewed; retained	Retain bounded labels, paths, or fixture text. Transcript growth remains a documented limit.
SmallGPTalkProviderStreamTest>>testLineEndingsAcrossChunks	ReStringConcatenationRule	String concatenation instead of streams	Reviewed; retained	Retain bounded labels, paths, or fixture text. Transcript growth remains a documented limit.
SmallGPTalkProviderTest>>tearDown	ReShouldSendSuperTearDownAsLastMessage	Provide a call to super tearDown as the last message in the tearDown method	Reviewed; retained	The ensure block calls superclass cleanup even when local cleanup fails.
SmallGPTalkRun	ReExcessiveVariablesRule	Excessive number of variables	Reviewed; retained	Retain state required by the current UI, operation lifecycle, or parser. No unused field was identified.
SmallGPTalkRun>>executeCall:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkRun>>executeCall:	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkRun>>executeCall:	ReTempsReadBeforeWrittenRule	Temporaries may be read before written	Reviewed; retained	Reviewed paths use initial nil state, guarded cleanup, or values assigned by a synchronized worker.
SmallGPTalkRun>>releaseResources	ReTempsReadBeforeWrittenRule	Temporaries may be read before written	Reviewed; retained	Reviewed paths use initial nil state, guarded cleanup, or values assigned by a synchronized worker.
SmallGPTalkRun>>supervise:timeoutSeconds:	ReAssignmentInBlockRule	Unnecessary assignment or return in block	Reviewed; retained	Retain worker result capture and protected cleanup around asynchronous work.
SmallGPTalkRun>>supervise:timeoutSeconds:	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkRun>>supervise:timeoutSeconds:	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkRun>>supervise:timeoutSeconds:	ReTempsReadBeforeWrittenRule	Temporaries may be read before written	Reviewed; retained	Reviewed paths use initial nil state, guarded cleanup, or values assigned by a synchronized worker.
SmallGPTalkRun>>supervise:timeoutSeconds:	ReUnwindBlocksRule	Move assignment out of unwind blocks	Reviewed; retained	Keep resource creation and work inside protected blocks so cancellation runs cleanup.
SmallGPTalkRun>>validateResponse:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkRun>>validateResponse:	ReCollectionProtocolRule	Uses do: instead of collect: or select:'s	Reviewed; retained	Retain ordered validation or accumulation across message roles; failure and duplicate detection depend on this work.
SmallGPTalkRun>>validateResponse:	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkRun>>validateResponse:	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkSelfImprovement	ReExcessiveVariablesRule	Excessive number of variables	Reviewed; retained	Retain state required by the current UI, operation lifecycle, or parser. No unused field was identified.
SmallGPTalkSelfImprovement>>runCycle	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkSession	ReExcessiveVariablesRule	Excessive number of variables	Reviewed; retained	Retain state required by the current UI, operation lifecycle, or parser. No unused field was identified.
SmallGPTalkSession>>agent:	ReNotEliminationRule	Eliminate unnecessary not's	Reviewed; retained	Retain the explicit non-empty conversation guard. This is style advice.
SmallGPTalkTool>>validateArguments:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkTool>>validateObject:schema:path:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkTool>>validateObject:schema:path:	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkTool>>validateObject:schema:path:	ReEqualsTrueRule	Unnecessary "= true"	Reviewed; retained	Retain explicit comparison for nullable fixture flags or schema values that can also be dictionaries.
SmallGPTalkTool>>validateObject:schema:path:	ReStringConcatenationRule	String concatenation instead of streams	Reviewed; retained	Retain bounded labels, paths, or fixture text. Transcript growth remains a documented limit.
SmallGPTalkTool>>validateValue:schema:path:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkTool>>value:hasType:	ReBadMessageRule	Sends "questionable" message	Reviewed; retained	Retain explicit type or capability checks at the tool, provider, credential, or UI boundary.
SmallGPTalkTool>>value:hasType:	ReCyclomaticComplexityRule	The cyclomatic complexity is high	Reviewed; retained	Retain explicit protocol validation, lifecycle checks, or rendering branches. Behavior tests cover these paths.
SmallGPTalkTool>>value:hasType:	ReEqualsTrueRule	Unnecessary "= true"	Reviewed; retained	Retain explicit comparison for nullable fixture flags or schema values that can also be dictionaries.
SmallGPTalkTool>>value:hasType:	ReLongMethodsRule	Long methods	Reviewed; retained	Retain for now. The method has one protocol operation; size alone does not show a defect.
SmallGPTalkTool>>value:hasType:	ReReturnsBooleanAndOtherRule	Returns a boolean and non boolean	Reviewed; retained	Unknown schema types signal an error; this branch does not return a non-Boolean value.
SmallGPTalkTool>>value:hasType:	ReSearchingLiteralRule	Uses or instead of a searching literal	Reviewed; retained	Retain identity checks for the two Boolean objects.
